longdist;local;int_disc;billtype;pay;gender;marital;income;agecat;churn
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;51200,7;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;40844,4;59-70;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;84388,5;59-70;1
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;19173,6;59-70;0
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;13965,4;59-70;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;96188,2;59-70;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;39700,3;59-70;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;37155;59-70;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;55059,2;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;50290,7;59-70;1
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;95930,6;59-70;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;40728,7;59-70;0
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;45818,7;59-70;0
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;70239,8;59-70;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;67812,8;59-70;1
<2;<8;Да;Бесплатный;CH;Мужской;Женат;35697,5;59-70;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;4123,46;71+;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;79734,6;71+;1
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;32480,3;71+;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;8502,99;71+;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;18861,6;71+;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;20478,6;71+;1
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;41138,2;71+;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;37877,6;71+;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;7659,09;71+;1
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;3193,6;71+;1
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;83039,2;71+;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;14500,3;71+;1
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;60170,1;71+;1
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;57549,5;71+;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;295,94;71+;1
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;59592,6;31-45;0
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;97603,6;31-45;1
<2;<8;Нет;Бюджетный;CH;Женский;Женат;75818,9;31-45;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;46771,2;31-45;1
<2;<8;Нет;Бюджетный;CH;Женский;Женат;13946,8;31-45;1
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;85073,7;31-45;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;11693,3;31-45;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;18686,3;31-45;0
<2;<8;Нет;Бюджетный;CH;Женский;Женат;73918,3;31-45;1
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;25863,8;31-45;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;41334,1;31-45;1
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;33935,8;31-45;0
<2;<8;Нет;Бюджетный;CH;Женский;Женат;63041,1;31-45;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;55977,7;31-45;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;48713,6;31-45;0
<2;<8;Нет;Бюджетный;CH;Женский;Женат;16785,9;31-45;1
<2;<8;Нет;Бюджетный;CH;Женский;Женат;94159,9;31-45;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;47750,4;31-45;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;59753,2;31-45;1
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;90205,6;46-58;0
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;89928,5;46-58;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;45310,4;46-58;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;127,24;46-58;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;95986;46-58;0
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;27376;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;17700,4;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;81641,2;<31;1
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;2530,76;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;4335,86;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;17866,9;<31;1
<2;<8;Да;Бюджетный;Auto;Женский;Одинокий;66634,9;<31;1
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;14258,4;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;38281,1;<31;1
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;36434,3;<31;1
<2;<8;Да;Бюджетный;Auto;Женский;Одинокий;52366,4;<31;1
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;71816,1;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;38997,7;<31;1
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;74912,1;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;32238,2;<31;1
<2;<8;Да;Бюджетный;Auto;Женский;Одинокий;20013,2;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;85180,1;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;85079,5;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;95930,6;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;295,94;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;7700,73;<31;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;14955,8;31-45;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;44065,4;31-45;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;83556,7;31-45;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;4545,11;46-58;1
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;32683,9;46-58;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;27492,2;46-58;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;99832,9;46-58;1
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;50451,6;46-58;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;48107,2;46-58;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;11268,3;46-58;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;91147,5;46-58;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;79324,7;46-58;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;41947,8;46-58;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15862,7;46-58;1
<2;<8;Нет;Бесплатный;CH;Женский;Одинокий;90513,2;46-58;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;85184,6;46-58;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;61825,5;46-58;1
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;57122,2;46-58;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;20850,4;46-58;1
<2;<8;Нет;Бесплатный;CH;Женский;Одинокий;87251,8;46-58;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;47131,5;46-58;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;9132,91;46-58;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;78854,9;46-58;1
<2;<8;Нет;Бесплатный;CH;Женский;Одинокий;13669,8;46-58;1
<2;<8;Да;Бюджетный;Auto;Мужской;Женат;38872,3;59-70;1
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;74912,1;59-70;0
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;28485,7;59-70;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;10095,8;59-70;1
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;54370,7;59-70;0
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;44143,1;59-70;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;34524,7;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;99832,9;59-70;1
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;25949;59-70;0
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;15865,5;59-70;0
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;66906,6;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;91136,2;59-70;1
<2;<8;Да;Бюджетный;Auto;Мужской;Женат;57976,7;59-70;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;64295,2;59-70;1
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;73089,7;59-70;0
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;90364,4;59-70;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Женат;56518,4;59-70;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Женат;41416,8;59-70;1
<2;<8;Да;Бюджетный;Auto;Мужской;Женат;86631,9;59-70;1
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;44566,6;59-70;0
<2;<8;Нет;Бесплатный;Auto;Мужской;Женат;54370,8;59-70;1
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;87467,1;59-70;1
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;1461,98;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;41856,2;59-70;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;7659,09;71+;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;67933,8;71+;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;66502,3;71+;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;76071,2;71+;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;68140,5;71+;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;23012,6;71+;1
<2;<8;Да;Бесплатный;CH;Женский;Женат;50000,4;71+;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15425,3;71+;1
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;86735,5;71+;1
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;38872,3;71+;1
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;99248,1;71+;1
<2;<8;Да;Бесплатный;CH;Женский;Женат;77622,9;71+;1
<2;<8;Да;Бесплатный;CH;Женский;Женат;73701,9;71+;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;88943,9;71+;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;44173,9;71+;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;49553,9;71+;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;61825,5;71+;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;41340,6;71+;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;75323,4;31-45;1
<2;<8;Нет;Бюджетный;CC;Женский;Одинокий;23289,7;31-45;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;2630,4;31-45;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;48874,7;46-58;1
<2;<8;Нет;Бюджетный;CC;Женский;Одинокий;10095,8;46-58;1
<2;<8;Нет;Бюджетный;CC;Женский;Одинокий;61205,6;46-58;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;47503,9;<31;1
<2;<8;Да;Бюджетный;CC;Женский;Женат;72649,3;<31;1
<2;<8;Нет;Бюджетный;CC;Мужской;Одинокий;11254,9;<31;1
<2;<8;Нет;Бюджетный;CC;Мужской;Одинокий;52355,1;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;99309;<31;1
<2;<8;Да;Бюджетный;CC;Женский;Женат;43787;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;47396,2;<31;1
<2;<8;Нет;Бюджетный;CC;Мужской;Одинокий;30057,4;<31;1
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;21126,7;<31;1
<2;<8;Да;Бюджетный;CC;Женский;Женат;81000,9;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;56286,8;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;1585,99;<31;1
<2;<8;Да;Бюджетный;CH;Женский;Женат;41862,6;<31;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;79245,1;<31;1
<2;<8;Да;Бюджетный;CH;Женский;Женат;8469,02;<31;1
<2;<8;Да;Бесплатный;CH;Женский;Женат;96926,2;<31;1
<2;<8;Да;Бесплатный;CH;Женский;Женат;73865,9;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;48334,1;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;59758,4;<31;1
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;21529,1;<31;1
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;48755,1;<31;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;86608,5;<31;1
<2;<8;Да;Бюджетный;CH;Женский;Женат;50890,7;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;82003,9;<31;1
<2;<8;Да;Бесплатный;CH;Женский;Женат;51669;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;36638,2;<31;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;69458,8;<31;1
<2;<8;Да;Бюджетный;CC;Женский;Одинокий;10385,3;31-45;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;70459,5;31-45;1
<2;<8;Да;Бюджетный;CC;Женский;Одинокий;50250,7;31-45;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;57322,1;31-45;0
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;88146,4;31-45;0
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;89958,8;31-45;0
<2;<8;Да;Бюджетный;CC;Женский;Одинокий;42504,3;31-45;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;76791,5;31-45;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;94243,8;31-45;1
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;94002,6;31-45;0
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;97841,7;31-45;0
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;87182,7;31-45;0
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;93322,1;46-58;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;68987,5;46-58;1
<2;<8;Да;Бесплатный;Auto;Женский;Женат;56438,9;46-58;1
<2;<8;Да;Бюджетный;CC;Женский;Женат;31166,6;46-58;1
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;8073,11;46-58;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;80659,1;46-58;1
<2;<8;Да;Бесплатный;Auto;Женский;Женат;60101,1;46-58;1
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;869,57;46-58;1
<2;<8;Да;Бесплатный;Auto;Женский;Женат;99454,2;46-58;1
<2;<8;Да;Бюджетный;CC;Женский;Женат;36660,9;46-58;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;30933,6;46-58;1
<2;<8;Да;Бюджетный;CC;Женский;Женат;57347,6;46-58;1
<2;<8;Да;Бюджетный;CH;Женский;Женат;89781,4;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;45057,1;59-70;1
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;99619,9;59-70;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;74018,4;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;96112,1;59-70;1
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;87797,5;59-70;1
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;99485,3;59-70;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;55187,6;59-70;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Женат;40774,2;59-70;0
<2;<8;Да;Бюджетный;CH;Женский;Женат;349,09;59-70;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Женат;34160,5;59-70;0
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;23832;59-70;1
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;37168,9;59-70;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;79721,1;59-70;1
<2;<8;Нет;Бесплатный;Auto;Мужской;Женат;87765,2;59-70;0
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;97524,5;59-70;1
<2;<8;Да;Бюджетный;CH;Женский;Женат;84100,4;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;71000,5;59-70;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;7330,68;71+;1
<2;<8;Нет;Бесплатный;CH;Женский;Одинокий;47927,1;71+;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;57626,9;71+;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;87818,3;71+;1
<2;<8;Нет;Бесплатный;CH;Женский;Одинокий;23892,2;71+;1
<2;<8;Да;Бесплатный;CH;Женский;Одинокий;33373,9;71+;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;48162;71+;1
<2;<8;Да;Бесплатный;CH;Женский;Одинокий;53162,2;71+;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;43644,7;71+;1
<2;<8;Нет;Бесплатный;CC;Женский;Женат;12752,5;71+;1
<2;<8;Нет;Бесплатный;CH;Женский;Одинокий;17562,9;71+;1
<2;<8;Да;Бесплатный;CH;Женский;Одинокий;94665,2;71+;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;86629,3;31-45;1
<2;<8;Нет;Бюджетный;Auto;Мужской;Одинокий;99100,1;31-45;1
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;35125;31-45;1
<2;<8;Да;Бесплатный;CH;Женский;Одинокий;25949;31-45;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;78564,7;31-45;1
<2;<8;Нет;Бюджетный;Auto;Мужской;Одинокий;55187,6;31-45;1
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;96501,9;31-45;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;68203,8;31-45;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;92769,4;31-45;1
<2;<8;Да;Бесплатный;CH;Женский;Одинокий;17700,4;31-45;1
<2;<8;Нет;Бюджетный;CH;Женский;Женат;90856,9;31-45;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;7122,16;31-45;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;18672;31-45;1
<2;<8;Нет;Бюджетный;Auto;Мужской;Одинокий;88874;31-45;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;34567;31-45;1
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;23919,1;31-45;1
<2;<8;Да;Бесплатный;CH;Женский;Одинокий;7010,68;46-58;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;17555,2;46-58;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;58087,5;46-58;1
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;78855,5;46-58;1
<2;<8;Нет;Бюджетный;CH;Женский;Женат;45682,8;46-58;1
<2;<8;Нет;Бюджетный;CH;Женский;Женат;52127,5;46-58;1
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;6165,64;46-58;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;48841,4;46-58;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;10385,3;<31;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;3409,01;<31;0
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;70908,7;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;9665,54;<31;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;37354;<31;0
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;69341,7;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;36415,3;<31;1
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;21396,2;<31;1
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;49728,7;<31;0
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;54953,1;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;52750,8;<31;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;64727,5;<31;1
<2;<8;Да;Бесплатный;CH;Женский;Одинокий;46480,7;31-45;1
<2;<8;Да;Бесплатный;CH;Женский;Одинокий;27376;31-45;1
<2;<8;Да;Бесплатный;CH;Женский;Одинокий;18151,6;31-45;1
<2;<8;Нет;Бюджетный;CC;Мужской;Одинокий;73338;46-58;1
<2;<8;Да;Бюджетный;CC;Женский;Одинокий;91198,6;46-58;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;64880;46-58;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;57090,7;46-58;1
<2;<8;Да;Бюджетный;CC;Женский;Одинокий;4755,27;46-58;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;45871,4;46-58;1
<2;<8;Да;Бесплатный;CC;Женский&*;_Одинокий;18831,1;46-58;1
<2;<8;Нет;Бюджетный;CC;Мужской;Одинокий;31809,7;46-58;1
<2;<8;Да;Бюджетный;CC;Женский;Одинокий;64977,4;46-58;1
<2;<8;Да;Бесплатный;CC;Женский;Женат;15862,7;46-58;1
<2;<8;Нет;Бюджетный;CC;Мужской;Одинокий;27677,8;46-58;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;110,28;46-58;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;29518,8;59-70;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;82335,5;59-70;1
<2;<8;Нет;Бюджетный;Auto;Мужской;Женат;88663,4;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;32811,6;59-70;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;88044,4;59-70;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;45476;59-70;1
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;67042;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;49554,8;59-70;1
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;76161,4;59-70;1
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;52127,5;59-70;1
<2;<8;Нет;Бюджетный;Auto;Мужской;Женат;79688,7;59-70;1
<2;<8;Нет;Бюджетный;Auto;Мужской;Женат;46165,2;59-70;1
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;2056,06;71+;0
<2;<8;Нет;Бюджетный;CC;Женский;Женат;1585,99;71+;1
<2;<8;Нет;Бюджетный;CC;Женский&*;_Женат;32118,4;71+;1
<2;<8;Да;Бюджетный;CC;Женский;Женат;5197;71+;1
<2;<8;Да;Бюджетный;CC;Женский;Женат;5257,65;71+;1
<2;<8;Нет;Бюджетный;CC;Женский;Женат;72996;71+;1
<2;<8;Да;Бесплатный;CC;Мужской;Женат;54864,6;71+;0
