age;ed;employ;address;income;debtinc;creddebt
30;Неполное среднее;11;5;36,9;15,58;1,94
40;Среднее;8;20;56,1;7,47;0,28
34;Неполное среднее;2;11;29,1;5,58;0,76
30;Неполное среднее;1;10;18,8;4,21;0,17
30;Среднее;2;9;19,7;23,1;0,33
33;Среднее специальное;9;4;35,2;3,67;0,29
37;Среднее специальное;1;3;25,6;3,7;0,32
40;Среднее;3;2;62,9;9,59;1,25
37;Неполное среднее;1;3;25,3;8,03;0,91
42;Среднее;8;4;38,5;5,95;0,6
32;Неполное среднее;16;4;38,4;14,38;1,5
30;Незаконченное высшее;5;7;38,6;24,99;3,99
49;Неполное среднее;5;15;47,2;6,63;1,44
22;Неполное среднее;3;1;16;5,33;0,25
46;Неполное среднее;4;20;20,8;7;0,24
31;Неполное среднее;11;11;25;7,44;0,87
37;Неполное среднее;4;0;18,7;5,45;0,42
42;Неполное среднее;10;18;48,3;19,9;6,82
40;Неполное среднее;19;14;105,6;5,93;1,33
42;Незаконченное высшее;11;4;86,7;11,55;5,1
44;Неполное среднее;22;23;118,7;23,3;12,28
28;Среднее;2;3;29,4;4,08;0,34
53;Неполное среднее;28;32;83,4;7,2;1,87
34;Среднее;15;14;57,6;2,89;0,48
43;Среднее;20;7;43,7;4,73;1,05
48;Неполное среднее;20;2;77,9;10,25;1
28;Неполное среднее;10;3;20,8;27,85;0,8
41;Среднее;4;0;34,8;5,02;0,92
38;Среднее;6;12;121,3;9,92;5,32
35;Среднее;14;14;46,7;9,57;1,84
39;Неполное среднее;23;19;55,1;5,26;1,72
29;Неполное среднее;11;9;27,1;7;0,84
32;Неполное среднее;4;3;19,7;23,84;1,45
24;Неполное среднее;2;1;18,7;8,73;0,29
30;Среднее;2;3;28,4;6,7;0,26
33;Неполное среднее;14;2;35,4;3,68;0,04
41;Незаконченное высшее;11;7;63,3;6,61;1,97
26;Незаконченное высшее;1;1;26;10,5;0,33
40;Неполное среднее;3;9;34,9;10,59;3,22
31;Неполное среднее;11;12;36,1;10,53;1,08
40;Неполное среднее;2;7;23,2;7,61;0,97
40;Неполное среднее;8;8;39,5;11,08;2,53
26;Неполное среднее;4;3;24,4;5,41;0,39
40;Неполное среднее;10;15;40,8;17,92;3,04
32;Неполное среднее;1;10;19,3;2,84;0,22
32;Неполное среднее;14;9;50,6;4,68;0,71
48;Неполное среднее;21;4;50,3;5,29;0,1
55;Неполное среднее;19;7;117,6;1,88;0,46
25;Неполное среднее;6;2;28;6,47;1,08
33;Неполное среднее;3;14;24,1;1,96;0,17
50;Среднее;11;31;35,2;10,66;0,98
32;Среднее;0;6;23,2;5,81;0,38
41;Среднее специальное;2;0;49,9;26,33;6,53
36;Неполное среднее;17;6;33,3;14,96;0,7
43;Среднее;1;1;54,2;5,9;1,45
43;Неполное среднее;15;9;45,3;13,43;0,64
33;Среднее;1;4;27,4;5,6;0,67
28;Среднее специальное;1;6;31,8;14,46;2
24;Среднее;3;1;21,2;8,83;0,38
44;Неполное среднее;9;13;32;5,78;0,48
39;Неполное среднее;17;4;40,9;5,84;1,18
42;Среднее;21;11;103,6;9,66;0,24
38;Незаконченное высшее;6;13;65,3;14,94;6,18
47;Среднее;1;18;21,7;25,27;0,91
31;Среднее специальное;9;9;29,1;11,22;1,18
28;Неполное среднее;4;7;19,2;11,17;0,96
42;Среднее специальное;8;6;78,6;1,35;0,18
42;Среднее;12;17;62;10,1;1,54
45;Среднее специальное;2;5;28,3;7,34;0,41
32;Неполное среднее;16;5;83,7;6,13;0,77
25;Неполное среднее;0;3;19,4;17,54;1,15
43;Незаконченное высшее;20;1;167,7;2,69;0,73
33;Среднее специальное;3;9;27,5;3,23;0,17
36;Среднее;4;2;38,4;14,69;0,52
28;Неполное среднее;1;6;28,1;6,29;0,92
40;Среднее;15;16;39,8;11,91;0,91
41;Среднее;17;9;83,7;5,71;1,94
25;Неполное среднее;1;0;16,6;8,12;0,58
38;Неполное среднее;12;4;27,6;10,11;1,27
39;Среднее;9;1;74,5;11;1,43
34;Незаконченное высшее;6;3;92,3;35,34;6,78
31;Неполное среднее;2;4;18,6;6,85;0,62
43;Среднее специальное;16;11;67,7;3,42;1,14
33;Среднее;7;7;30,1;15,51;1,37
36;Неполное среднее;10;12;31,6;2,14;0,31
21;Среднее специальное;0;0;26,3;15,23;0,97
25;Неполное среднее;6;6;20,1;1,61;0,1
26;Неполное среднее;9;4;28;19,07;2,02
39;Неполное среднее;19;16;47;5,82;1,04
26;Незаконченное высшее;1;7;59,5;3,46;0,42
35;Неполное среднее;0;3;26,4;2,31;0,31
44;Среднее;10;1;62,3;20,58;6,69
34;Среднее специальное;12;14;94,7;17,41;1,48
39;Неполное среднее;17;20;51,6;7;1,08
24;Неполное среднее;7;2;16,7;2,42;0,08
39;Неполное среднее;5;2;36,6;7,37;1,47
31;Среднее специальное;0;3;23,8;6,87;0,16
42;Неполное среднее;3;18;18,5;12,43;0,71
23;Среднее специальное;1;3;54,2;20,74;1,2
43;Неполное среднее;22;15;39,3;6,75;0,77
29;Среднее;4;3;33,4;12,62;0,59
43;Неполное среднее;6;8;23;3,01;0,23
28;Среднее специальное;3;9;29,3;8;0,56
30;Неполное среднее;13;8;50,6;10,57;0,67
45;Незаконченное высшее;12;25;150,4;4,48;1,45
31;Неполное среднее;11;8;32,1;9,18;0,18
41;Неполное среднее;16;17;66,5;12,52;1,28
27;Неполное среднее;4;8;17,8;12,17;0,22
31;Среднее;4;6;18,5;9,42;0,5
27;Незаконченное высшее;1;3;31,2;18,33;2,27
30;Незаконченное высшее;2;8;35,1;10,02;2,49
30;Неполное среднее;11;1;59,1;4,12;0,03
31;Неполное среднее;6;1;27,2;19,71;1,59
32;Среднее;12;1;33,3;18,19;1,02
43;Неполное среднее;13;23;38,4;2,78;0,16
30;Неполное среднее;1;5;14,9;1,04;0,03
50;Среднее;7;0;48,8;9,98;0,56
38;Среднее;12;4;63,9;18,77;5,77
37;Неполное среднее;9;18;50,3;1,4;0,54
45;Неполное среднее;0;18;24,6;27,12;1,77
38;Неполное среднее;21;5;55,4;2,18;0,21
29;Неполное среднее;10;10;29,5;9,65;0,87
24;Неполное среднее;5;3;18;6,27;0,03
36;Неполное среднее;13;16;40,8;22,65;1,66
35;Среднее;8;11;72;2,77;0,4
31;Среднее;2;1;27,6;2,86;0,08
32;Неполное среднее;8;6;28,7;4,12;0,36
35;Среднее;1;8;18;11;0,29
40;Среднее;13;11;78,3;19,87;5,03
22;Неполное среднее;4;2;22;11,6;1,69
44;Неполное среднее;4;15;40;6,59;1,26
41;Незаконченное высшее;14;3;44,2;1,7;0,35
34;Неполное среднее;16;9;32,4;26,6;3,7
34;Неполное среднее;1;3;24,5;9,73;0,62
31;Неполное среднее;4;10;24,4;6,9;0,98
30;Неполное среднее;0;0;18,6;4,88;0,3
32;Неполное среднее;14;7;27,7;7,29;0,62
36;Неполное среднее;12;6;64,5;7,76;1,46
42;Неполное среднее;9;12;30,2;2,14;0,13
37;Среднее специальное;3;18;40,3;9,43;0,73
25;Среднее специальное;0;0;19,3;17,38;0,17
28;Среднее;7;2;20,8;7,86;0,68
32;Неполное среднее;4;6;29,1;16,73;1,03
41;Среднее;3;22;38,7;10,66;0,58
25;Среднее специальное;2;6;46;8,33;2,61
44;Неполное среднее;28;8;157,7;11,93;6,45
38;Неполное среднее;8;7;25,2;2,52;0,33
38;Неполное среднее;15;3;43,3;3,07;0,51
27;Неполное среднее;10;6;33,3;17,08;2,91
52;Неполное среднее;35;15;182,7;9,21;9,41
31;Незаконченное высшее;0;10;27,8;13,52;0,29
35;Среднее;4;8;28,2;13,3;1,2
26;Неполное среднее;4;3;15,9;5,05;0,42
33;Среднее;9;4;67,6;9,33;1,84
55;Неполное среднее;19;2;66,6;6,88;1,36
47;Неполное среднее;12;24;29;10,7;0,73
27;Неполное среднее;10;5;34,8;8,88;0,57
38;Среднее;8;14;36,3;1,37;0,22
22;Неполное среднее;3;3;14,6;7,6;0,31
24;Неполное среднее;6;0;15,3;5,79;0,34
23;Неполное среднее;6;2;22,7;17,37;1,04
25;Неполное среднее;4;1;20,6;12,09;0,73
28;Неполное среднее;1;1;17,6;18,66;0,85
22;Неполное среднее;0;1;17,5;8,53;0,19
50;Неполное среднее;8;27;20,4;11,28;0,28
31;Среднее;6;6;50,9;7,1;0,83
42;Неполное среднее;19;12;35,2;6,86;0,34
41;Неполное среднее;5;10;42;14,15;1,46
48;Незаконченное высшее;3;23;35,4;6,34;0,89
31;Среднее;5;8;17,1;27,29;0,53
29;Среднее специальное;7;1;35,3;17,23;1,73
35;Неполное среднее;9;1;46,1;12,86;1,18
39;Неполное среднее;9;9;43,6;10,2;2,42
26;Среднее;6;6;38,1;7,34;1,34
36;Неполное среднее;14;11;52,4;8,23;1,22
34;Среднее;13;4;39;1,92;0,1
40;Среднее специальное;16;6;224,4;12,78;8,55
32;Среднее;7;11;22,3;22,89;1,65
50;Неполное среднее;19;31;43,5;16,66;3,54
46;Неполное среднее;22;18;73,8;8,44;1,54
36;Неполное среднее;1;1;17,9;14,01;0,73
33;Среднее;1;3;35;11,32;1,97
31;Среднее;10;6;39,5;2,59;0,28
25;Среднее специальное;1;1;16,1;2,03;0,12
41;Среднее;21;22;131,7;14,51;12,36
42;Среднее;3;17;23,4;4,67;0,22
45;Неполное среднее;26;23;74,9;8,04;1,74
28;Неполное среднее;11;6;30,5;2,42;0,14
48;Среднее специальное;0;27;27,6;10,83;1,24
48;Среднее специальное;17;26;192;28,01;15,76
33;Среднее;5;11;50,3;6,49;2,22
47;Неполное среднее;2;24;35,6;15,45;0,4
38;Неполное среднее;21;11;130,6;20,42;8,8
23;Неполное среднее;5;2;33,1;7,96;0,59
29;Среднее;10;8;38;10,16;0,88
33;Неполное среднее;0;2;26,9;14,4;0,67
38;Неполное среднее;21;1;44,7;8,4;0,45
45;Среднее;6;3;31,2;5,54;0,5
28;Среднее;0;9;18,3;19,25;2,15
28;Неполное среднее;5;5;23,1;28,54;1,8
27;Среднее специальное;5;8;15,8;2,09;0,02
39;Среднее;1;6;35,8;4,58;0,55
27;Неполное среднее;8;2;26,2;4,43;0,24
30;Среднее специальное;5;2;22,3;2,89;0,24
33;Неполное среднее;6;3;24,4;8,11;0,51
27;Среднее;6;1;37,3;8,27;0,13
41;Неполное среднее;10;7;46,8;4,71;0,86
32;Неполное среднее;7;2;27,4;16,19;2,74
30;Среднее;6;6;28,9;14,24;0,8
28;Среднее;7;2;38,7;1,25;0,32
32;Неполное среднее;9;7;25,4;18,35;0,6
30;Неполное среднее;10;11;37,5;9,93;0,73
47;Среднее специальное;8;23;36,2;17,59;2,01
42;Неполное среднее;26;10;60,4;19,81;4,86
34;Неполное среднее;2;8;31;15,87;1,54
26;Среднее специальное;1;7;23,6;3,97;0,24
25;Среднее;5;4;15,9;4,02;0,44
29;Неполное среднее;1;1;18,2;3,25;0,07
33;Среднее;11;9;29,9;14,13;1,41
35;Неполное среднее;15;11;52,3;6,77;2,32
46;Неполное среднее;27;15;77,7;23,99;2,76
44;Среднее специальное;1;6;63,1;8,37;2,05
46;Неполное среднее;6;18;50,9;3,7;0,78
33;Незаконченное высшее;9;0;61,9;5,25;2,37
45;Незаконченное высшее;7;0;152,7;13,76;9,25
35;Неполное среднее;16;12;24,4;21,32;0,93
29;Неполное среднее;6;2;36,5;16,75;2,27
30;Неполное среднее;6;0;20,4;7,8;0,48
38;Неполное среднее;18;19;44,4;4,54;0,62
34;Среднее специальное;2;14;17,7;6,81;0,5
36;Незаконченное высшее;12;11;52,8;21,91;2,37
40;Неполное среднее;7;1;22,5;6,79;0,59
26;Неполное среднее;4;0;45,9;12,42;1,09
52;Незаконченное высшее;20;11;118,6;6,77;3,56
39;Незаконченное высшее;5;12;22,8;5,47;0,64
27;Среднее;8;7;23,2;11,93;0,52
52;Неполное среднее;9;11;24,7;19,28;0,83
39;Неполное среднее;9;6;43,1;6,24;0,51
33;Неполное среднее;7;0;33,7;14,93;1,75
25;Среднее;2;1;23,4;9,73;0,57
44;Среднее;23;1;57,6;0,54;0,2
49;Среднее;21;29;167,8;6,88;1,44
41;Неполное среднее;13;21;58;23,77;5,61
40;Неполное среднее;3;11;37,5;16,39;2,8
33;Среднее;0;11;18,9;1,23;0,1
27;Среднее специальное;6;4;40,9;10,41;1,46
32;Неполное среднее;16;10;35,3;3,77;0,8
43;Неполное среднее;17;0;65,2;16,71;6,6
38;Среднее;3;18;25,7;10,92;1,67
36;Неполное среднее;18;14;41;2,43;0,24
38;Среднее;7;17;41,5;13,63;2,73
32;Неполное среднее;14;0;33,9;2,44;0,26
30;Неполное среднее;0;11;17,1;0,51;0,04
26;Незаконченное высшее;1;0;25,6;8,99;1,29
31;Неполное среднее;11;6;32,6;4,88;0,41
34;Неполное среднее;15;2;76,8;24,71;8,62
31;Неполное среднее;8;3;34,9;7,61;0,96
48;Среднее;28;11;168;10,47;3,85
29;Неполное среднее;9;0;29;4,54;0,21
36;Среднее;4;17;42,2;7,65;0,92
29;Неполное среднее;11;7;57,5;3,06;0,49
33;Среднее;9;2;30;13,8;0,96
39;Неполное среднее;15;5;43;7,26;1,12
42;Неполное среднее;0;21;18,8;5,93;0,22
25;Неполное среднее;7;3;28,7;5,79;0,27
36;Незаконченное высшее;11;14;64,9;16,8;7,37
44;Неполное среднее;15;2;44,3;5,51;1,6
36;Среднее;4;16;38,1;8,07;1,25
27;Неполное среднее;0;8;17,8;3,95;0,04
37;Неполное среднее;12;12;36,2;7,42;0,6
38;Среднее специальное;11;8;45,3;11,12;1,68
31;Среднее;10;7;42,3;7,84;1,45
36;Неполное среднее;18;14;44,4;17,13;4,56
25;Среднее;4;5;21,5;6,27;0,05
46;Неполное среднее;10;3;38,3;7,01;0,34
29;Среднее специальное;3;7;34,4;10,25;1,46
41;Среднее;5;2;28,5;2,99;0,36
40;Неполное среднее;12;16;32,8;3,23;0,56
34;Неполное среднее;10;10;22,7;9,74;0,14
24;Неполное среднее;6;2;18,9;5,26;0,1
27;Среднее специальное;5;1;28,6;7,97;1,06
25;Неполное среднее;9;4;34,7;1,26;0,13
36;Среднее специальное;11;12;51,7;6,5;0,54
38;Неполное среднее;5;2;25,2;5,52;0,61
46;Неполное среднее;14;16;43,6;22,7;3,76
34;Незаконченное высшее;7;14;41,7;15,36;1,74
37;Среднее;2;14;26,3;42,09;3,54
30;Неполное среднее;2;6;19,9;27,14;3,19
37;Неполное среднее;18;8;48,2;11,25;4,17
36;Неполное среднее;2;0;31,2;2,34;0,16
24;Незаконченное высшее;0;5;27,9;3,08;0,04
31;Незаконченное высшее;1;6;36,4;3,46;0,35
26;Среднее специальное;0;4;27,3;17,32;0,84
39;Неполное среднее;16;4;31,4;6,23;1,03
52;Незаконченное высшее;27;17;174;2,44;2,21
26;Среднее;4;0;25,2;29,06;1,54
45;Неполное среднее;5;17;28,3;0,08;0,01
37;Неполное среднее;18;0;108,8;20,61;13,27
36;Среднее;0;6;47,8;4,07;0,25
49;Неполное среднее;20;5;95,6;25,08;6,33
37;Неполное среднее;13;4;33,3;4,36;0,24
29;Среднее;9;9;40,1;8,18;1,58
40;Среднее;5;12;52,6;4,64;1,17
36;Незаконченное высшее;1;10;41,4;26,58;5,05
40;Неполное среднее;12;6;43,2;13,88;1,07
40;Неполное среднее;2;4;33,9;9,65;1,44
38;Неполное среднее;12;0;52,1;8;0,26
30;Неполное среднее;8;6;29,5;12,03;0,98
29;Неполное среднее;1;1;16,1;5,51;0,13
29;Среднее специальное;3;3;35,1;3,99;0,68
26;Незаконченное высшее;2;6;50,1;2,5;0,56
28;Незаконченное высшее;0;5;32,5;13,14;2,37
43;Среднее;19;9;74,7;8,24;2,92
31;Неполное среднее;7;1;39,3;5,43;0,3
23;Неполное среднее;2;0;18,8;7,56;0,66
39;Неполное среднее;3;9;40,7;24,33;4,12
39;Неполное среднее;1;4;26,1;21,96;3,65
31;Неполное среднее;8;8;51,3;19,85;6,1
28;Неполное среднее;4;2;17,8;4,85;0,09
46;Неполное среднее;6;19;24;2,91;0,27
38;Неполное среднее;20;1;62,3;8,61;1,11
26;Среднее;5;6;36,7;16,09;1,37
44;Среднее;18;4;247;5,32;2,02
42;Среднее специальное;9;4;40,9;3,12;0,42
45;Среднее;16;2;70,5;4,32;1,34
32;Неполное среднее;10;13;34,4;8,5;1,5
25;Неполное среднее;6;6;23,7;4,25;0,27
54;Неполное среднее;16;16;42,6;14,85;2,09
23;Неполное среднее;7;3;29,4;3,86;0,23
41;Среднее;8;21;42,9;3,97;0,13
34;Среднее;1;0;28,8;7,91;1,05
50;Неполное среднее;2;29;29,5;9;1,22
40;Неполное среднее;6;6;25,9;9,73;1,09
48;Среднее специальное;25;5;152,8;12,03;7,17
27;Среднее;4;6;32,6;19,81;0,46
38;Среднее;13;9;41,9;11,94;0,24
37;Среднее;17;3;41,6;11,54;1,4
33;Неполное среднее;0;6;20,8;3,58;0,34
48;Среднее специальное;22;22;186,9;7,69;2,33
32;Неполное среднее;0;7;14,2;10,65;0,46
30;Неполное среднее;0;11;19,1;9,73;0,42
26;Незаконченное высшее;1;5;34,4;8,39;1,88
24;Неполное среднее;3;2;16,4;1,81;0,04
40;Неполное среднее;17;8;53,8;14,68;3,86
40;Среднее;6;0;26;12;0,71
36;Высшее, ученая степень;2;1;30,4;10,97;0,52
45;Среднее;11;17;76,1;1,95;0,71
36;Высшее, ученая степень;5;12;112,5;8,18;4,14
39;Среднее;18;9;60,2;2,14;0,51
36;Неполное среднее;18;9;30,3;7,78;0,66
50;Среднее;22;0;194,9;9,91;10,99
37;Среднее;0;4;31,6;14,89;1,29
46;Незаконченное высшее;18;13;86,6;7,05;2,45
31;Среднее специальное;4;5;36,6;22,47;2,28
37;Незаконченное высшее;3;17;49,7;3,35;0,76
33;Неполное среднее;14;8;26,6;24,06;5,02
28;Неполное среднее;8;6;27,5;5,29;0,24
41;Неполное среднее;24;5;61,1;8,95;2,37
36;Неполное среднее;12;6;47,3;5,78;2,47
34;Среднее;1;2;26,3;4,94;0,77
31;Неполное среднее;15;2;36,8;21,33;1,26
29;Неполное среднее;4;4;18,6;3,77;0,13
31;Неполное среднее;7;12;36,6;16,1;2,36
26;Среднее;3;1;28,5;17,19;2,14
42;Неполное среднее;4;4;24,1;4,79;0,25
34;Неполное среднее;16;13;45,2;18,32;2,64
37;Незаконченное высшее;14;4;39,3;2,07;0,56
37;Неполное среднее;1;14;22;3,61;0,17
33;Среднее специальное;0;4;27,3;20,38;0,79
36;Неполное среднее;8;6;27,6;5,39;0,39
30;Неполное среднее;5;10;27,7;11,76;0,93
32;Среднее;2;13;27;8,32;0,6
40;Среднее специальное;0;13;36,4;6,74;1,2
29;Среднее;9;8;40,1;1,92;0,13
25;Неполное среднее;1;3;20,5;6,46;0,36
51;Неполное среднее;23;7;81,6;11,92;5,23
34;Среднее;14;3;56,1;17,39;5,01
47;Среднее специальное;9;1;106,1;4,41;1,53
35;Неполное среднее;5;5;19,9;14,13;1,07
33;Среднее;8;5;23,6;6,62;0,47
51;Неполное среднее;14;0;40,4;3,38;0,54
26;Среднее;0;7;22,1;13,17;0,5
34;Неполное среднее;10;3;32,4;9,64;1,64
23;Среднее;0;4;15,8;9,36;0,74
45;Неполное среднее;16;13;60,9;8,45;2,25
30;Неполное среднее;7;5;22,5;15,09;0,48
29;Неполное среднее;6;9;20;11,62;0,29
37;Среднее;14;18;49,7;29,77;2,99
34;Неполное среднее;18;10;43;15,46;2,67
50;Среднее;16;14;84,7;5,04;0,39
31;Неполное среднее;2;7;20;24,67;1,4
34;Среднее специальное;1;9;26,5;18,63;1,16
23;Неполное среднее;5;4;20,4;11,19;1,11
42;Неполное среднее;13;7;34,7;11,58;0,02
55;Неполное среднее;8;24;25,3;24,54;2,78
42;Среднее специальное;17;5;88,6;3,57;0,26
33;Среднее;8;7;37,4;1,34;0,09
32;Незаконченное высшее;1;12;26,3;12,11;1,75
29;Среднее;1;7;48,2;4,2;0,85
34;Неполное среднее;5;10;24,9;16,06;1,33
50;Неполное среднее;15;18;46,3;5,81;0,46
32;Неполное среднее;11;7;37,7;2,61;0,38
32;Неполное среднее;10;0;22,4;6,85;0,51
31;Среднее;1;7;28,3;10,84;0,27
27;Неполное среднее;7;2;21,8;30,15;1,39
46;Неполное среднее;1;15;21,9;14,84;1,44
43;Среднее;16;10;45,6;7,99;0,34
38;Неполное среднее;21;2;63,8;5,35;0,84
33;Незаконченное высшее;8;10;45;2,87;0,42
23;Незаконченное высшее;0;4;15,3;12,71;0,69
28;Неполное среднее;11;4;28,4;23,57;1,96
28;Неполное среднее;5;6;20,3;1,66;0,02
20;Среднее специальное;0;1;29,3;2,32;0,08
43;Неполное среднее;16;7;66,9;17,63;1,7
42;Неполное среднее;5;9;24,2;27,38;1,5
39;Неполное среднее;22;19;58,7;0,58;0,09
44;Среднее специальное;1;8;20;26,98;0,74
36;Неполное среднее;19;14;90,4;2,27;0,18
49;Среднее;28;29;223,3;7,21;2,69
31;Неполное среднее;3;5;22,2;26,4;3,92
35;Неполное среднее;14;14;40,4;9,88;1,47
38;Неполное среднее;0;14;20,2;12,01;0,99
29;Незаконченное высшее;0;10;104,7;10,76;4,2
39;Среднее специальное;16;14;90,3;10,27;2,59
33;Неполное среднее;16;4;30,5;10,44;2,54
36;Неполное среднее;10;9;38,8;5,13;0,71
32;Среднее;5;2;53,2;7,22;0,61
48;Высшее, ученая степень;15;10;117,4;7,11;2,25
35;Неполное среднее;1;4;27,7;17,91;1,51
42;Среднее;14;4;92,4;6,63;3,36
41;Неполное среднее;22;6;109,5;11,46;3,12
29;Неполное среднее;10;10;41;9,58;0,81
38;Среднее;19;1;101;15,71;12,06
27;Незаконченное высшее;1;2;23,4;7,07;0,28
41;Незаконченное высшее;16;13;173,2;10,94;7,11
36;Неполное среднее;15;9;27,7;13,75;0,13
28;Среднее специальное;6;7;23,2;9,93;1,03
31;Неполное среднее;6;3;41,7;15,02;0,92
44;Среднее специальное;1;16;38,2;7,16;0,63
47;Незаконченное высшее;12;18;89;19,53;7,14
49;Неполное среднее;1;5;43,3;8,63;2
36;Среднее;7;2;57,1;12,32;1,73
54;Неполное среднее;21;18;88,2;5,73;1,14
46;Среднее;28;4;221,3;16,12;18,09
30;Неполное среднее;0;11;16;12,03;0,29
37;Высшее, ученая степень;9;16;27,2;22,56;4,19
45;Неполное среднее;21;21;58,9;17,55;0,95
50;Неполное среднее;1;26;20,5;7,28;0,59
29;Неполное среднее;8;8;29;14,54;1,12
44;Неполное среднее;3;20;33,4;10,53;0,78
39;Неполное среднее;5;11;33,6;10,67;1,38
37;Неполное среднее;2;15;26,9;9,49;0,19
33;Высшее, ученая степень;4;5;107,5;13,22;3,6
30;Среднее;6;2;31,2;6,37;0,76
29;Неполное среднее;13;1;32,7;13,59;1,7
34;Неполное среднее;17;12;52,5;17,61;3,75
27;Среднее;6;1;60,4;13,34;3,85
39;Неполное среднее;18;16;48,6;23,66;1,48
39;Неполное среднее;3;20;23,2;5,31;0,02
27;Среднее специальное;1;4;17,4;1,75;0,03
45;Неполное среднее;13;8;76,4;28,24;5,16
34;Неполное среднее;4;5;22;9,71;0,72
27;Неполное среднее;5;1;20,6;3,51;0,16
38;Среднее;13;0;45,3;7,45;0,63
35;Неполное среднее;2;2;19;21,31;2,24
43;Среднее специальное;0;4;38,7;1,8;0,14
25;Неполное среднее;3;2;16,3;1,81;0,12
25;Неполное среднее;5;5;18,7;13,68;0,39
27;Неполное среднее;6;7;41,8;12,13;2,13
23;Неполное среднее;0;2;14,5;16,57;0,7
40;Неполное среднее;16;12;69,8;10,49;1,96
41;Неполное среднее;0;14;21;10,4;0,68
31;Неполное среднее;6;0;38;7,28;0,25
49;Незаконченное высшее;21;7;149,7;4,51;0,41
45;Среднее специальное;5;17;35,8;25,33;0,93
28;Среднее специальное;0;4;42,4;11,43;0,99
30;Неполное среднее;13;6;27,9;27,28;3,45
44;Неполное среднее;5;20;21;7,59;0,65
48;Среднее специальное;9;14;37,3;4,47;0,07
45;Неполное среднее;19;9;84,4;12,34;0,97
44;Неполное среднее;25;22;112,5;5,79;0,23
32;Неполное среднее;13;8;54,1;5,06;1,46
34;Незаконченное высшее;2;7;17,7;0,48;0,02
30;Среднее;0;6;24;11,63;1,5
37;Неполное среднее;5;10;21;11,83;0,27
35;Среднее специальное;11;5;56,6;30,21;2,82
37;Неполное среднее;15;12;77,6;2,75;0,71
44;Среднее специальное;11;18;67,6;17,39;4,46
25;Среднее специальное;0;4;20,2;5,5;0,13
36;Неполное среднее;2;10;47;36,56;7,22
29;Неполное среднее;3;7;21,9;7,29;0,16
35;Среднее;8;12;27,2;3,82;0,62
42;Неполное среднее;21;1;105,5;31,1;15,32
53;Среднее;12;27;38,5;2,05;0,07
37;Среднее;10;12;65,1;6,52;1,58
35;Неполное среднее;3;10;28,2;6,18;0,45
36;Неполное среднее;11;15;53;3,72;1,33
34;Неполное среднее;3;2;33,2;11,12;0,63
26;Среднее;4;2;20;0,61;0,02
30;Неполное среднее;13;1;26,8;5,3;0,93
36;Среднее;5;9;35,3;27,67;3,51
33;Среднее;8;2;34,3;5,69;0,85
